pgpid,url,iiif_urls,fragment_urls,shelfmark,multifragment,side,region,type,tags,description,scholarship_records,shelfmarks_historic,languages_primary,languages_secondary,language_note,doc_date_original,doc_date_calendar,doc_date_standard,inferred_date_display,inferred_date_standard,inferred_date_rationale,inferred_date_notes,initial_entry,last_modified,input_by,library,collection,has_transcription,has_translation,notes,needs_review,status,url_admin
2064,https://geniza.princeton.edu/documents/2064/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00020-00026,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00020-00026/1,T-S 8J20.26,,,,Letter,"Alexandria, illness letter 969-1517, illness: cost, illness: rich description, corvee, war, illness: limb, illness: 40 days, physicians, crusade, Illness, Illness: women's, Illness: physician, Illness: treatment","Letter from Alexandria to Fustat. In Judaeo-Arabic. Fragment: Bottom half only. Dating: There are reports of men seized for forced labor to dig a ditch around the city. Goitein and Frenkel both suggest that this reference can date the document to 1219 CE, during the fifth crusade. The crusaders besieged Damietta from May 1218 until November 1219 when they finally took it. Evidently, people feared that Alexandria would be next. (See also T-S 16.286, a letter from Alexandria dated 21 October 1219.) This letter reports on the state of the city: ""The city is in a dire state because of the digging of the ditch. The city is locked up, and forced labor is imposed upon the population."" The writer then gives a detailed report about the medical condition and treatment of a woman who had been injured in an unrelated accident, then discusses some small errands, then an important family affair, and concludes with greetings to at least fifteen persons. Two postscripts are added. ""As to Abū l-ʿAlā'—when I arrived, I found the city locked up; no male person could appear in the streets, because he would be taken to the [digging of the] ditch. That's why I was unable to meet him. As to the malḥafa [a blanket serving also as outer garment], the bazaars are locked and no one sells and buys. I am telling you this that you should not think that I am neglectful of your affairs."" Regarding the injury of Yumn: ""When coming home, I found Yumn—on whom the door fell—in a serious condition. She has been ill for forty days. At the time she was impure and remained in that state; thus all the other members of the household became impure together with her. Only God knows how the situation is; she cries so much that I forget my own tribulations. However, if God wills, she has good prospect for recovery. Her leg is in a case (tābūt) especially made for her. A Christian doctor (ʿarel) treats her and I was told that he did not take any money for her treatment. He at that time was treating the wounded (al-majārīḥ). I did not find any bandage (or plaster/dressing) of palm fibers (marham al-nakhlī) in the house and could not move her; for she cannot get up or sit; she bends forward only a little (qad ittajaha qalīl). Her foot and leg are swollen (manfūkh)."" Information and translations from Goitein, Med Soc, V, 56, and note cards #27138–39. This date-palm plaster is recommended for treating wounds and abscesses in the medieval medical literature—a Google search of مرهم نخلي will lead to citations in works by the Andalusians Aḥmad b. ʿIsā al-Hāshimī (d. 1077) and Ibn Zuhr (d. 1162). For Ibn Zuhr, its consistency is like that of honey, and threads are dipped in it before being used to wick fluid out of a wound. Thus, perhaps it is a substance deriving from the date itself, rather than from the palm-fibers. The solution might also be found in Yevr.-Arab. I 1700.22, recto, text block c (PGPID 2724), which may be a recipe for מרהם נכלי. Note also that ""ittajaha"" in the context of injury or illness most often means ""improved"" (rather than ""bend""), and sick people are often described as ""having improved a little"" even if they are still in critical condition. The hand of the letter resembles that of T-S 16.272, written by an Alexandrian judge. ASE.","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 8 J 20, f. 26; TS Box 8 J 20, f. 26; TS 8 J 20, fol. 26; TS Box 8 J 20, fol. 26",Judaeo-Arabic,,,,,,,,,,1990-08-20 04:00:00+00:00,2022-12-07 17:43:57.883123+00:00,Jessica Parker ; Ksenia Ryzhova ; Marina Rustow ; Nurit Tsafrir,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2064/change/
2065,https://geniza.princeton.edu/documents/2065/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00020-00027,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00020-00027/1,T-S 8J20.27,,,,Letter,11th c,"Letter fragment of supplication to a Gaon, probably from Jerusalem or Ramla, the eleventh century.","Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 2. ; S. D. Goitein, index cards.","TS Box 8 J 20, f. 27; TS 8 J 20, fol. 27; TS Box 8 J 20, fol. 27; TS 8 J 20, f. 27",Judaeo-Arabic,,,,,,,,,,1988-01-19 05:00:00+00:00,2022-01-05 02:07:24.454355+00:00,Catherine Beaumont ; Gillian Rosenberg,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2065/change/
2069,https://geniza.princeton.edu/documents/2069/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00020-00005,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00020-00005/1,T-S 8J20.5,,,,Letter,"travels, 12th c","Letter in which relatives of the writer invited him to stay with them in a Christian land but he appears to have declined. Written from Benha, Lower Egypt, on the writer's way to Alexandria. The writer describes how his clothing was stolen on his travels. Dated ca. twelfth century. (Goitein, Mediterranean Society, 4:154, 396). EMS","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 8 J 20, fol. 5; TS Box 8 J 20, fol. 5; TS Box 8 J 20, f. 5; TS 8 J 20, f. 5",Judaeo-Arabic,,,,,,,,,,1990-08-16 04:00:00+00:00,2022-01-05 02:13:01.186365+00:00,Gillian Rosenberg ; Nurit Tsafrir,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2069/change/
2070,https://geniza.princeton.edu/documents/2070/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00020-00007,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00020-00007/1,T-S 8J20.7,,,,Letter,"illness letter 969-1517, illness: waja', 11th c, Illness","Letter from Yehuda b. Salāma, in an unknown location, to Yosef b. ʿEli ha-Kohen Fāsī, in Fustat. Dating: Ca. 1054 CE. Concerning money shipments. The writer has been unable to obtain anything from Ibn Khafāja, who is sick (r8–9). (Information from Gil, Kingdom, vol. 4, pp. 377-379, #725). VMR","Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 4. ; S. D. Goitein, unpublished editions.","TS 8 J 20, f. 7; TS Box 8 J 20, f. 7; TS 8 J 20, fol. 7; TS Box 8 J 20, fol. 7",Judaeo-Arabic,,,,,,,,,,1990-08-17 04:00:00+00:00,2024-01-18 16:55:35.452031+00:00,Amir Ashur ; Jake Brzowsky ; Nurit Tsafrir,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2070/change/
2073,https://geniza.princeton.edu/documents/2073/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00022-00010,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00022-00010/1,T-S 8J22.10,,,,Letter,"Nahray B. Nissim, trade","Letter from Nahray b. Nissim, Egypt, to Abū l-Faraḥ b. Isma'il b. Faraḥ, Būṣīr.","A. L. Udovitch, unpublished editions. ; Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 2. ; S. D. Goitein, unpublished editions.","TS Box 8 J 22, f. 10; TS Box 8 J 22, fol. 10; TS 8 J 22, f. 10; TS 8 J 22, fol. 10",Judaeo-Arabic,,,,,,,,,,1990-01-12 05:00:00+00:00,2024-02-02 19:12:07.360327+00:00,Amir Ashur ; Marina Rustow ; Nurit Tsafrir,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2073/change/
2076,https://geniza.princeton.edu/documents/2076/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00022-00025,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00022-00025/1,T-S 8J22.25,,,,Letter,11th c,"Letter from Ḥasan b. Muʾammal, Ramla, to Abu Nasr the cockeyed, Fustat, September 1052.","Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 3. ; S. D. Goitein, index cards.","TS 8 J 22, fol. 25; TS Box 8 J 22, f. 25; TS Box 8 J 22, fol. 25; TS 8 J 22, f. 25",Judaeo-Arabic,,,,,,,,,,1987-11-02 05:00:00+00:00,2022-01-05 02:15:01.476432+00:00,Catherine Beaumont ; Gillian Rosenberg,CUL,"CUL, T-S",Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/2076/change/
2077,https://geniza.princeton.edu/documents/2077/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00022-00028,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00022-00028/1,T-S 8J22.28,,,,Letter,11th c,"Letter segment in the hand of Eli Ha-Kohen b. Ezekiel, Ramla, September or October 1052.","Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 3. ; S. D. Goitein, index cards.","TS Box 8 J 22, f. 28; TS 8 J 22, f. 28; TS Box 8 J 22, fol. 28; TS 8 J 22, fol. 28",Judaeo-Arabic,,,,,,,,,,1987-11-02 05:00:00+00:00,2022-01-05 02:15:32.914215+00:00,Catherine Beaumont ; Gillian Rosenberg,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2077/change/
2078,https://geniza.princeton.edu/documents/2078/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00022-00003,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00022-00003/1,T-S 8J22.3,,,,Letter,"blind, 12th c","Request from Masliah b. Gaon to let R. Abu al-Rasa b. Rabana Yehuda ha-Ḥaver, to sing in the synagogue of the Palestinians (אלשאמיין), because of: a.) his noble descent by his father; b.) he's blind; and c.) he's poor. (Information from Goitein's index card). EMS and VMR","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 8 J 22, fol. 3; TS 8 J 22, f. 3; TS 8 J 22, fol. 3; TS Box 8 J 22, f. 3",Judaeo-Arabic,,,,,,,,,,1990-08-24 04:00:00+00:00,2022-01-05 02:16:24.221127+00:00,Gillian Rosenberg ; Nurit Tsafrir,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2078/change/
2080,https://geniza.princeton.edu/documents/2080/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00023-00006,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00023-00006/1,T-S 8J23.6,,,,Letter,,Letter from Mardūkh b. Mūsā to Nahray b. Nissim. This is the wrong shelfmark.,"S. D. Goitein, unpublished editions (Nahray‎ b. Nissim archive).","TS 8 J 23, f. 6; TS 8 J 23, fol. 6; TS Box 8 J 23, f. 6; TS Box 8 J 23, fol. 6",Judaeo-Arabic,,,,,,,,,,1988-09-07 04:00:00+00:00,2023-09-07 23:51:30.895841+00:00,Alan Elbaum ; Amir Ashur ; Catherine Beaumont ; Gillian Rosenberg ; Ksenia Ryzhova,CUL,"CUL, T-S",Y,N,,wrong shelfmark,Public,https://geniza.princeton.edu/admin/corpus/document/2080/change/
2081,https://geniza.princeton.edu/documents/2081/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00026-00003,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00026-00003/1,T-S 8J26.3,,recto,,Letter,"yeshiva, 11th c, Efrayim b. Shemarya","Letter in the hand of Efrayim b. Shemarya. Dating: Ca. 1026 CE. Referring to a speech made by Abū Isḥāq (Avraham b. Sahlān), a member of the Babylonian yeshiva, concerning the eclipse of the exclusive juridical authority of the Palestinian yeshiva (i.e. the authority of Efrayim b. Šemarya). (Information from Gil and CUDL)","Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 2. ; S. D. Goitein, index cards.","TS Box 8 J 26, fol. 3; TS 8 J 26, fol. 3; TS 8 J 26, f. 3; TS Box 8 J 26, f. 3",Judaeo-Arabic,,,,,,,,,,1986-04-15 05:00:00+00:00,2023-03-14 01:50:07.283847+00:00,Alan Elbaum ; Amir Ashur ; Christopher Taylor ; Marina Rustow,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2081/change/
2082,https://geniza.princeton.edu/documents/2082/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00026-00004,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00026-00004/1,T-S 8J26.4,,,,Letter,"Nahray B. Nissim, trade, 11th c","Letter regarding business from Yaḥyā b. Mūsā al-Majjānī, probably in Mahdiyya, to Nahray b. Nissim (c. 1045 CE). On verso is the continuation of the letter and a (draft of a) letter in a different hand and ink, mentioning Abū Zechariah b. Menashshe and expressing the hope that [...] b. Abū Ibrahim al-Iskandarānī, who travelled from Barqa, is fine.","A. L. Udovitch, unpublished editions. ; Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 4. ; S. D. Goitein, index cards.","TS 8 J 26, fol. 4; TS 8 J 26, f. 4; TS Box 8 J 26, f. 4; TS Box 8 J 26, fol. 4",Judaeo-Arabic,,,,,,,,,,1990-12-03 05:00:00+00:00,2022-09-23 11:16:13.252139+00:00,Amir Ashur ; Nurit Tsafrir ; Tali Shemma,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2082/change/
2084,https://geniza.princeton.edu/documents/2084/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00027-00002,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00027-00002/1,T-S 8J27.2,,,,Letter,"Nahray B. Nissim, trade, 11th c, ship, Shipwreck, qunbar, qarib, khiti, Ibn al-Ba'ba'","Letter from Musa b. Abi al-Hayy in Alexandria to Abu Yahya Nahray b. Nissim in Fustat. Dating: ca. 1057 (Gil). This is one of two letters describing a catastrophic set of shipwrecks; the other is CUL Or. 1080 J167 (PGPID 2259). Musa b. Abi al-Hayy is upset by the news of shipwrecks that had befallen some of the ships in which some of the traders from their circle (aṣḥābunā) had sailed with their merchandise. The first group of ships included: (1) the qunbār of the amīr, on which R. Maṣliaḥ, his brother, and Maymūn were sailing; (2) the ship of Ibn al-Baʿbāʿ, on which Isḥaq b. Khalaf, Tamām, and Musa's brother were sailing; (3) the qārib of the amīr headed to Tripoli, on which Khalfon, Ibn Nissim, Ḥajjāj, Shaʾul the son of Ibn Benayya's sister, Janūn, the son of the brother of Ibn al-Iskandarānī; (4) the qārib of the vizier, on which none of their aṣḥāb were traveling; (5) the qārib of al-Tarājima, which likewise contained none of their aṣḥāb; (6) the khīṭī captained by al-Dawwāma, also containing none of their aṣḥāb; (7) the khayṭī of al-Labāʾa, which was headed for Sfax and likewise contained none of the aṣḥāb; (8) the qārib of Ibn Zanbāj. In the second group of ships, the ships included (1) the qārib of Ibn al-Iskandar, on which Mardūk was traveling; (2) the qārib of Ibn Dayṣūr, on which the Kohen Ibn Hārūn and his boy were traveling; (3) the government ship (markab al-sulṭān) on which the son of Abū Yūsuf and Ibn Naḥum were traveling; (4) the qārib of al-Fāriqī, on which Abū Yūsuf, Ibn Raynāʾ, and an ailing man from Gabès (Qābis) were traveling; (5) the Ishfīlī, on which the son of the sister of Abū Ibrāhīm, Ṣemaḥ, Ḥānnān (!) and Ibn Asad were traveling; (6) the qārib of al-Jannānī, which wasn't carrying any of their aṣḥāb. This is not an exhaustive accounting of what's in the letter; also mentioned are the ship of al-Muʿizz, which was carrying the son of Abū Yūsuf, who perished, may God have mercy on him. There were other deaths, and still other people about whom the writer doesn't know whether or not they were saved. Goitein on this pair of letters (Med. Soc., 1:331) ""What could happen to such a convoy is vividly described in two complementary letters, written in Alexandria around the middle of the eleventh century. Altogether, twenty-two ships are mentioned by name and the fate of each is recorded. In addition, the names of the business friends of the addressee, a total of twenty-five, traveling in them and what happened to each are reported. The convoy set sail in three successive groups, called 'sailings' (iqlāʿāt), the first two consisting of eight bottoms each. The first group consisted of a qunbār and a barge of the amir, or governor, of Alexandria; three other barges, one belonging to a vizier, two khīṭīs, one entitled ""al-Ra'isa,"" ""the Chief,"" owned by a lady [Gil reads this differently above, and Rustow concurs with him], and a craft called markab, the general word for ship. The second group consisted of the ship of the sultan Muʿizz of Tunisia, a ship and a barge belonging to a man from Seville, Spain, and several other craft among them one qunbar (as in the first group). These ships sailed on Monday before Pentecost (month of May), but two days later were overcome by a storm, in which the ship of the sultan and another boat perished; the writer of our letters and the addressee both had goods and friends in those ships. The convoy took refuge in two anchoring places on the North African coast, one of which, (Ra's) al-Kanāʾis, is frequently mentioned in our records and is still operating today as a local harbor. (The late King Faruk had a summer palace there, and since Ra's al-Kanaʾis means 'Cape of the Churches,' he renamed it Ra's al-Ḥikma, 'Cape of Wisdom.') Only five ships belonging to the first group succeeded in passing out into the high seas, for in addition to the storm just mentioned, there was another calamity. The enemy, certainly the Byzantine navy, 'which had complete mastery over the sea,' captured one boat and only because of its being busy with it did the rest of the convoy escape. The remaining ships had to return to Alexandria, however, where the governor ordered them to be unloaded, obviously because he did not see any possibility of sending out a second convoy.""","Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 3. ; S. D. Goitein, unpublished editions (Nahray‎ b. Nissim archive). ; S. D. Goitein, unpublished editions.","TS Box 8 J 27, fol. 2; TS Box 8 J 27, f. 2; TS 8 J 27, fol. 2; TS 8 J 27, f. 2",Judaeo-Arabic,,,,,,,,,,1988-07-16 04:00:00+00:00,2022-05-26 14:29:13.754764+00:00,Marina Rustow ; Sumaiya Hamdani ; Tali Shemma,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2084/change/
2085,https://geniza.princeton.edu/documents/2085/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00028-00007,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00028-00007/1,T-S 8J28.7,,recto,,Letter,informal note,"Second note from a teacher who, in the letter on recto, had complained about an unruly pupil (see PGPID 2086). A family member has replied on verso, encouraging the teacher to continue writing, as perhaps the notes will scare the boy into behaving well; the teacher has complied with the request and written a second note. ASE.","S. D. Goitein, ""Side Lights on Jewish Education from the Cairo Geniza,"" in Gratz College Anniversary volume (1971).","TS 8 J 28, fol. 7; TS Box 8 J 28, f. 7; TS 8 J 28, f. 7; TS Box 8 J 28, fol. 7",Judaeo-Arabic,,,,,,,,,,1989-12-16 05:00:00+00:00,2023-07-17 23:50:54.460052+00:00,Gillian Rosenberg ; Marina Rustow ; Miriam Krakowski ; Nurit Tsafrir ; Rachel Richman,CUL,"CUL, T-S",Y,Y,,Goitein does not provide line numbering in translation,Public,https://geniza.princeton.edu/admin/corpus/document/2085/change/
2086,https://geniza.princeton.edu/documents/2086/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00028-00007,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00028-00007/1,T-S 8J28.7,,recto and verso,,Letter,"illness: marad, illness letter 969-1517, teacher, education, illness: poverty, illness: children's, complaints, Illness","Recto: Letter in which a teacher complains about an unruly pupil. ""Whenever I beat him, I do so excessively; but as soon as I begin, the mistress rushes along and, after having hit him four or five times, releases him. Had it not been for his illness, I would have killed him with beating, although as a poorly clothed newcomer, he is entitled to some consideration."" The teacher wants the pupil's family to discipline him in the same manner at home. Verso: Reply of a family member to the teacher's letter on recto. The writer thanks the teacher for his efforts and emphasizes that they spare no pains in trying to educate the boy. He encourages the teacher to keep writing, as perhaps the notes will scare the boy into behaving well. ASE.","S. D. Goitein, ""Side Lights on Jewish Education from the Cairo Geniza,"" in Gratz College Anniversary volume (1971). ; S. D. Goitein, index cards.","TS 8 J 28, fol. 7; TS Box 8 J 28, f. 7; TS 8 J 28, f. 7; TS Box 8 J 28, fol. 7",Judaeo-Arabic,,,,,,,,,,1989-12-16 05:00:00+00:00,2023-07-17 23:50:08.164957+00:00,Alan Elbaum ; Amir Ashur ; Miriam Krakowski ; Nurit Tsafrir,CUL,"CUL, T-S",Y,Y,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,Goitein does not provide line numbering in translation,Public,https://geniza.princeton.edu/admin/corpus/document/2086/change/
2089,https://geniza.princeton.edu/documents/2089/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00033-00010,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00033-00010,T-S 8J33.10,,verso,,List or table,"waqf, qodesh, 12th c, heqdesh, acccount","The beadle as cashier of the Qodesh, ca. 1162. The beadle Mahfuz, of the Synagogue of the Palestinians, receives the revenue from the orchard of the qodesh. This is a short entry, signed by two members of the court. In another entry, the revenue from rent collected from tenants of the qodesh by the parnas Abu'l-Ma'ali is also received by the same beadle. The record also mentions the person under whose authority these operations take place, namely the Gaon Netaniel b. Moshe. (Information from Gil, Documents, pp. 291 #61)","Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976). ; S. D. Goitein, unpublished editions.","TS Box 8 J 33, fol. 10; TS 8 J 33, f. 10; TS Box 8 J 33, f. 10; TS 8 J 33, fol. 10",Judaeo-Arabic,,,,,,,,,,1987-01-29 05:00:00+00:00,2022-10-01 09:54:55.584622+00:00,Amir Ashur ; Sumaiya Hamdani,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/2089/change/
2094,https://geniza.princeton.edu/documents/2094/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00004-00012 ; https://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-J-00006 ; https://cudl.lib.cam.ac.uk/iiif/MS-TS-00008-J-00004-00011,https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00004-00012 ; https://cudl.lib.cam.ac.uk/view/MS-TS-NS-J-00006 ; https://cudl.lib.cam.ac.uk/view/MS-TS-00008-J-00004-00011/1,T-S 8J4.12 + T-S NS J6 + T-S 8J4.11,,recto ; recto ; recto,,Legal document,"court record, Partnership","Recto: Legal document. Partnership record. Dated: February 1092. Location: Fustat. T-S 8J4.11 and T-S NS J6 are part of a record of a trading partnership between Yaḥyā ha-Kohen b. Samuel and ‘Ulla ha-Levi b. Joseph al-Dimashqī, investors with Bishāra the freedman. The full document is comprised of T-S 8J4.11and T-S NS J6 (this record), and T-S 8J4.12 (PGPID 7624). Bishara is to journey to Aleppo and Antioch and to sell goods purchased there in Fusṭāṭ. Bishāra is under instructions to sell only for cash and not to accept credit. Yaḥyā and ‘Ulla are to take two-thirds of the profit, having invested 155 and 1/3 dinars together. Bishāra contributed 20 dinars, and was entitled to one-third of the profit as well as expenses related to the merchandise. Bishāra is not to receive any further daily allowance. Bishāra takes on “the faith of the Heavens”, and agrees not to cheat his partners. Lieberman speculates that T-S Misc 27.4.29 (PGPID 8366) may be a renewal of this partnership relationship. See T-S 8J4.12 (PGPID 2094) for further information about this agreement. (Information from Lieberman, ""A Partnership Culture"", 172-173)

Alternate description: Legal document. Partnership record. Dated: February 1092. Location: Fustat. T-S 8J4.11 is part of a record of a trading partnership between Yaḥyā ha-Kohen b. Samuel and ‘Ulla ha-Levi b. Joseph al-Dimashqī, investors with Bishāra the freedman. The full document is comprised of T-S 8J4.12 (this record), and T-S 8J4.11 and T-S NS J6 (PGPID 7623). Bishara is to journey to Aleppo and Antioch and to sell goods purchased there in Fusṭāṭ. Bishāra is under instructions to sell only for cash and not to accept credit. Yaḥyā and ‘Ulla are to take two-thirds of the profit, having invested 155 and 1/3 dinars together. Bishāra contributed 20 dinars, and was entitled to one-third of the profit as well as expenses related to the merchandise. Bishāra is not to receive any further daily allowance. Bishāra takes on “the faith of the Heavens”, and agrees not to cheat his partners. Lieberman speculates that T-S Misc 27.4.29 (PGPID 8366) may be a renewal of this partnership relationship. Witnessed by Ṣedaqa ha-Kohen b. David, Yakhin he-Ḥazzan b. Abraham and Yiṣḥaq b. Elʿazar. Confirmed by Abraham b. Nathan,  Avraham b. Shemaʿya he-Ḥaver and Shelomo b. Yosef ha-Kohen. This document was written in duplicate and given to the two investors, Yaḥyā and ‘Ulla. Bishāra, the active partner, seems not to have received a copy. See also T-S 8J4.11 and T-S NS J6 (PGPID 7623). (Information from Lieberman, ""A Partnership Culture"", 172-173).","Phillip Ackerman-Lieberman, ""A Partnership Culture:  Jewish Economic and Social Life Seen Through the Legal Documents of the Cairo Geniza"" (2007). ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions. ; S. D. Goitein, unpublished editions. Full transcription awaiting digitization.","TS Box 8 J 4, fol. 12; TS 8 J 4, fol. 12; TS 8 J 4, f. 12; TS Box 8 J 4, f. 12 ; TS Box 8 J 4, f. 11; TS 8 J 4, f. 11; TS 8 J 4, fol. 11; TS Box 8 J 4, fol. 11",Judaeo-Arabic,,,27 Adar 1403,Seleucid,1092-02,,,,,1990-06-19 04:00:00+00:00,2022-08-25 18:48:14.755695+00:00,Alan Elbaum ; Ilana Newman ; Nurit Tsafrir ; Sarah Nisenson ; Zohar Berman,CUL ; CUL ; CUL,"CUL, T-S ; CUL, T-S ; CUL, T-S",Y,Y,"Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing
Notes from PGPID 7624:
Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing
Notes from PGPID 8703:
Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing",,Public,https://geniza.princeton.edu/admin/corpus/document/2094/change/
